PK,O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
7822,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1125.00,Recreational Therapists,Primary-Short,2
7823,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",31-2011.00,Occupational Therapy Assistants,Primary-Short,3
7824,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122.00,Occupational Therapists,Primary-Short,4
7825,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",31-2012.00,Occupational Therapy Aides,Primary-Short,5
7826,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1127.00,Speech-Language Pathologists,Primary-Long,6
7827,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",21-1014.00,Mental Health Counselors,Primary-Long,7
7828,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",25-2055.00,"Special Education Teachers, Kindergarten",Primary-Long,8
7829,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",25-2059.01,Adapted Physical Education Specialists,Primary-Long,9
7830,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1123.00,Physical Therapists,Primary-Long,10
7831,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-2053.00,Psychiatric Technicians,Supplemental,11
7832,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",31-2022.00,Physical Therapist Aides,Supplemental,12
7833,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",21-1023.00,Mental Health and Substance Abuse Social Workers,Supplemental,13
7834,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",31-2021.00,Physical Therapist Assistants,Supplemental,14
7835,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",25-2056.00,"Special Education Teachers, Elementary School",Supplemental,15
7836,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",31-9099.01,Speech-Language Pathology Assistants,Supplemental,16
7837,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",25-2051.00,"Special Education Teachers, Preschool",Supplemental,17
7838,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1229.04,Physical Medicine and Rehabilitation Physicians,Supplemental,18
7839,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",31-1133.00,Psychiatric Aides,Supplemental,19
7840,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1141.02,Advanced Practice Psychiatric Nurses,Supplemental,20
7841,29-1123.00,Physical Therapists,29-1229.04,Physical Medicine and Rehabilitation Physicians,Primary-Short,1
7842,29-1123.00,Physical Therapists,29-1122.00,Occupational Therapists,Primary-Short,2
7843,29-1123.00,Physical Therapists,29-1214.00,Emergency Medicine Physicians,Primary-Short,3
7844,29-1123.00,Physical Therapists,29-1141.04,Clinical Nurse Specialists,Primary-Short,4
7845,29-1123.00,Physical Therapists,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Short,5
7846,29-1123.00,Physical Therapists,29-1171.00,Nurse Practitioners,Primary-Long,6
7847,29-1123.00,Physical Therapists,29-1242.00,"Orthopedic Surgeons, Except Pediatric",Primary-Long,7
7848,29-1123.00,Physical Therapists,29-1141.01,Acute Care Nurses,Primary-Long,8
7849,29-1123.00,Physical Therapists,29-1243.00,Pediatric Surgeons,Primary-Long,9
7850,29-1123.00,Physical Therapists,29-1125.00,Recreational Therapists,Primary-Long,10
7851,29-1123.00,Physical Therapists,31-2021.00,Physical Therapist Assistants,Supplemental,11
7852,29-1123.00,Physical Therapists,31-2022.00,Physical Therapist Aides,Supplemental,12
7853,29-1123.00,Physical Therapists,29-1126.00,Respiratory Therapists,Supplemental,13
7854,29-1123.00,Physical Therapists,31-2011.00,Occupational Therapy Assistants,Supplemental,14
7855,29-1123.00,Physical Therapists,31-2012.00,Occupational Therapy Aides,Supplemental,15
7856,29-1123.00,Physical Therapists,29-2053.00,Psychiatric Technicians,Supplemental,16
7857,29-1123.00,Physical Therapists,29-1215.00,Family Medicine Physicians,Supplemental,17
7858,29-1123.00,Physical Therapists,29-1141.00,Registered Nurses,Supplemental,18
7859,29-1123.00,Physical Therapists,29-1221.00,"Pediatricians, General",Supplemental,19
7860,29-1123.00,Physical Therapists,29-1124.00,Radiation Therapists,Supplemental,20
7861,29-1124.00,Radiation Therapists,29-2036.00,Medical Dosimetrists,Primary-Short,1
7862,29-1124.00,Radiation Therapists,29-2031.00,Cardiovascular Technologists and Technicians,Primary-Short,2
7863,29-1124.00,Radiation Therapists,29-2034.00,Radiologic Technologists and Technicians,Primary-Short,3
7864,29-1124.00,Radiation Therapists,29-1126.00,Respiratory Therapists,Primary-Short,4
7865,29-1124.00,Radiation Therapists,29-2033.00,Nuclear Medicine Technologists,Primary-Short,5
7866,29-1124.00,Radiation Therapists,29-2032.00,Diagnostic Medical Sonographers,Primary-Long,6
7867,29-1124.00,Radiation Therapists,29-2035.00,Magnetic Resonance Imaging Technologists,Primary-Long,7
7868,29-1124.00,Radiation Therapists,29-2099.01,Neurodiagnostic Technologists,Primary-Long,8
7869,29-1124.00,Radiation Therapists,31-2011.00,Occupational Therapy Assistants,Primary-Long,9
7870,29-1124.00,Radiation Therapists,29-9093.00,Surgical Assistants,Primary-Long,10
7871,29-1124.00,Radiation Therapists,29-1214.00,Emergency Medicine Physicians,Supplemental,11
7872,29-1124.00,Radiation Therapists,29-1243.00,Pediatric Surgeons,Supplemental,12
7873,29-1124.00,Radiation Therapists,29-1212.00,Cardiologists,Supplemental,13
7874,29-1124.00,Radiation Therapists,29-1224.00,Radiologists,Supplemental,14
7875,29-1124.00,Radiation Therapists,29-1242.00,"Orthopedic Surgeons, Except Pediatric",Supplemental,15
7876,29-1124.00,Radiation Therapists,31-2021.00,Physical Therapist Assistants,Supplemental,16
7877,29-1124.00,Radiation Therapists,31-2022.00,Physical Therapist Aides,Supplemental,17
7878,29-1124.00,Radiation Therapists,29-1123.00,Physical Therapists,Supplemental,18
7879,29-1124.00,Radiation Therapists,29-2043.00,Paramedics,Supplemental,19
7880,29-1124.00,Radiation Therapists,29-1229.04,Physical Medicine and Rehabilitation Physicians,Supplemental,20
7881,29-1125.00,Recreational Therapists,29-1122.00,Occupational Therapists,Primary-Short,1
7882,29-1125.00,Recreational Therapists,29-2053.00,Psychiatric Technicians,Primary-Short,2
7883,29-1125.00,Recreational Therapists,31-2011.00,Occupational Therapy Assistants,Primary-Short,3
7884,29-1125.00,Recreational Therapists,31-2021.00,Physical Therapist Assistants,Primary-Short,4
7885,29-1125.00,Recreational Therapists,31-2012.00,Occupational Therapy Aides,Primary-Short,5
7886,29-1125.00,Recreational Therapists,29-1123.00,Physical Therapists,Primary-Long,6
7887,29-1125.00,Recreational Therapists,29-1129.01,Art Therapists,Primary-Long,7
7888,29-1125.00,Recreational Therapists,31-2022.00,Physical Therapist Aides,Primary-Long,8
7889,29-1125.00,Recreational Therapists,21-1015.00,Rehabilitation Counselors,Primary-Long,9
7890,29-1125.00,Recreational Therapists,29-1129.02,Music Therapists,Primary-Long,10
7891,29-1125.00,Recreational Therapists,29-1214.00,Emergency Medicine Physicians,Supplemental,11
7892,29-1125.00,Recreational Therapists,29-1229.04,Physical Medicine and Rehabilitation Physicians,Supplemental,12
7893,29-1125.00,Recreational Therapists,31-1133.00,Psychiatric Aides,Supplemental,13
7894,29-1125.00,Recreational Therapists,21-1014.00,Mental Health Counselors,Supplemental,14
7895,29-1125.00,Recreational Therapists,21-1023.00,Mental Health and Substance Abuse Social Workers,Supplemental,15
7896,29-1125.00,Recreational Therapists,19-3033.00,Clinical and Counseling Psychologists,Supplemental,16
7897,29-1125.00,Recreational Therapists,29-1141.02,Advanced Practice Psychiatric Nurses,Supplemental,17
7898,29-1125.00,Recreational Therapists,29-1223.00,Psychiatrists,Supplemental,18
7899,29-1125.00,Recreational Therapists,19-3039.03,Clinical Neuropsychologists,Supplemental,19
7900,29-1125.00,Recreational Therapists,21-1013.00,Marriage and Family Therapists,Supplemental,20
7901,29-1126.00,Respiratory Therapists,29-2043.00,Paramedics,Primary-Short,1
7902,29-1126.00,Respiratory Therapists,29-2031.00,Cardiovascular Technologists and Technicians,Primary-Short,2
7903,29-1126.00,Respiratory Therapists,29-1141.03,Critical Care Nurses,Primary-Short,3
7904,29-1126.00,Respiratory Therapists,29-1141.01,Acute Care Nurses,Primary-Short,4
7905,29-1126.00,Respiratory Therapists,29-1124.00,Radiation Therapists,Primary-Short,5
7906,29-1126.00,Respiratory Therapists,29-1123.00,Physical Therapists,Primary-Long,6
7907,29-1126.00,Respiratory Therapists,31-2021.00,Physical Therapist Assistants,Primary-Long,7
7908,29-1126.00,Respiratory Therapists,31-2011.00,Occupational Therapy Assistants,Primary-Long,8
7909,29-1126.00,Respiratory Therapists,29-1141.00,Registered Nurses,Primary-Long,9
7910,29-1126.00,Respiratory Therapists,31-2022.00,Physical Therapist Aides,Primary-Long,10
7911,29-1126.00,Respiratory Therapists,29-1214.00,Emergency Medicine Physicians,Supplemental,11
7912,29-1126.00,Respiratory Therapists,29-1071.01,Anesthesiologist Assistants,Supplemental,12
7913,29-1126.00,Respiratory Therapists,29-1243.00,Pediatric Surgeons,Supplemental,13
7914,29-1126.00,Respiratory Therapists,29-1212.00,Cardiologists,Supplemental,14
7915,29-1126.00,Respiratory Therapists,29-1211.00,Anesthesiologists,Supplemental,15
7916,29-1126.00,Respiratory Therapists,29-1141.04,Clinical Nurse Specialists,Supplemental,16
7917,29-1126.00,Respiratory Therapists,29-1171.00,Nurse Practitioners,Supplemental,17
7918,29-1126.00,Respiratory Therapists,29-1242.00,"Orthopedic Surgeons, Except Pediatric",Supplemental,18
7919,29-1126.00,Respiratory Therapists,29-9093.00,Surgical Assistants,Supplemental,19
7920,29-1126.00,Respiratory Therapists,29-1229.04,Physical Medicine and Rehabilitation Physicians,Supplemental,20
7921,29-1127.00,Speech-Language Pathologists,29-1122.00,Occupational Therapists,Primary-Short,1
7922,29-1127.00,Speech-Language Pathologists,29-1181.00,Audiologists,Primary-Short,2
7923,29-1127.00,Speech-Language Pathologists,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Short,3
7924,29-1127.00,Speech-Language Pathologists,29-1223.00,Psychiatrists,Primary-Short,4
7925,29-1127.00,Speech-Language Pathologists,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Primary-Short,5
7926,29-1127.00,Speech-Language Pathologists,29-1141.04,Clinical Nurse Specialists,Primary-Long,6
7927,29-1127.00,Speech-Language Pathologists,29-1123.00,Physical Therapists,Primary-Long,7
7928,29-1127.00,Speech-Language Pathologists,29-1215.00,Family Medicine Physicians,Primary-Long,8
7929,29-1127.00,Speech-Language Pathologists,19-3033.00,Clinical and Counseling Psychologists,Primary-Long,9
7930,29-1127.00,Speech-Language Pathologists,29-1217.00,Neurologists,Primary-Long,10
7931,29-1127.00,Speech-Language Pathologists,31-9099.01,Speech-Language Pathology Assistants,Supplemental,11
7932,29-1127.00,Speech-Language Pathologists,31-2011.00,Occupational Therapy Assistants,Supplemental,12
7933,29-1127.00,Speech-Language Pathologists,29-2053.00,Psychiatric Technicians,Supplemental,13
7934,29-1127.00,Speech-Language Pathologists,31-2012.00,Occupational Therapy Aides,Supplemental,14
7935,29-1127.00,Speech-Language Pathologists,31-2021.00,Physical Therapist Assistants,Supplemental,15
7936,29-1127.00,Speech-Language Pathologists,29-1125.00,Recreational Therapists,Supplemental,16
7937,29-1127.00,Speech-Language Pathologists,29-1214.00,Emergency Medicine Physicians,Supplemental,17
7938,29-1127.00,Speech-Language Pathologists,29-1171.00,Nurse Practitioners,Supplemental,18
7939,29-1127.00,Speech-Language Pathologists,29-1141.01,Acute Care Nurses,Supplemental,19
7940,29-1127.00,Speech-Language Pathologists,31-2022.00,Physical Therapist Aides,Supplemental,20
7941,29-1128.00,Exercise Physiologists,29-1229.04,Physical Medicine and Rehabilitation Physicians,Primary-Short,1
7942,29-1128.00,Exercise Physiologists,39-9031.00,Exercise Trainers and Group Fitness Instructors,Primary-Short,2
7943,29-1128.00,Exercise Physiologists,29-1123.00,Physical Therapists,Primary-Short,3
7944,29-1128.00,Exercise Physiologists,31-2021.00,Physical Therapist Assistants,Primary-Short,4
7945,29-1128.00,Exercise Physiologists,29-9091.00,Athletic Trainers,Primary-Short,5
7946,29-1128.00,Exercise Physiologists,29-1031.00,Dietitians and Nutritionists,Primary-Long,6
7947,29-1128.00,Exercise Physiologists,29-2031.00,Cardiovascular Technologists and Technicians,Primary-Long,7
7948,29-1128.00,Exercise Physiologists,29-1229.06,Sports Medicine Physicians,Primary-Long,8
7949,29-1128.00,Exercise Physiologists,29-1125.00,Recreational Therapists,Primary-Long,9
7950,29-1128.00,Exercise Physiologists,29-1122.00,Occupational Therapists,Primary-Long,10
7951,29-1128.00,Exercise Physiologists,29-1212.00,Cardiologists,Supplemental,11
7952,29-1128.00,Exercise Physiologists,29-1126.00,Respiratory Therapists,Supplemental,12
7953,29-1128.00,Exercise Physiologists,29-1141.04,Clinical Nurse Specialists,Supplemental,13
7954,29-1128.00,Exercise Physiologists,29-1124.00,Radiation Therapists,Supplemental,14
7955,29-1128.00,Exercise Physiologists,31-2022.00,Physical Therapist Aides,Supplemental,15
7956,29-1128.00,Exercise Physiologists,29-1243.00,Pediatric Surgeons,Supplemental,16
7957,29-1128.00,Exercise Physiologists,31-2012.00,Occupational Therapy Aides,Supplemental,17
7958,29-1128.00,Exercise Physiologists,29-1217.00,Neurologists,Supplemental,18
7959,29-1128.00,Exercise Physiologists,29-2053.00,Psychiatric Technicians,Supplemental,19
7960,29-1128.00,Exercise Physiologists,29-1141.01,Acute Care Nurses,Supplemental,20
7961,29-1129.01,Art Therapists,29-1129.02,Music Therapists,Primary-Short,1
7962,29-1129.01,Art Therapists,29-1125.00,Recreational Therapists,Primary-Short,2
7963,29-1129.01,Art Therapists,29-1122.00,Occupational Therapists,Primary-Short,3
7964,29-1129.01,Art Therapists,21-1013.00,Marriage and Family Therapists,Primary-Short,4
7965,29-1129.01,Art Therapists,19-3033.00,Clinical and Counseling Psychologists,Primary-Short,5
7966,29-1129.01,Art Therapists,21-1014.00,Mental Health Counselors,Primary-Long,6
7967,29-1129.01,Art Therapists,21-1023.00,Mental Health and Substance Abuse Social Workers,Primary-Long,7
7968,29-1129.01,Art Therapists,29-1223.00,Psychiatrists,Primary-Long,8
7969,29-1129.01,Art Therapists,19-3039.03,Clinical Neuropsychologists,Primary-Long,9
7970,29-1129.01,Art Therapists,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Long,10
7971,29-1129.01,Art Therapists,31-2011.00,Occupational Therapy Assistants,Supplemental,11
7972,29-1129.01,Art Therapists,29-2053.00,Psychiatric Technicians,Supplemental,12
7973,29-1129.01,Art Therapists,31-2012.00,Occupational Therapy Aides,Supplemental,13
7974,29-1129.01,Art Therapists,31-2021.00,Physical Therapist Assistants,Supplemental,14
7975,29-1129.01,Art Therapists,29-1127.00,Speech-Language Pathologists,Supplemental,15
7976,29-1129.01,Art Therapists,21-1015.00,Rehabilitation Counselors,Supplemental,16
7977,29-1129.01,Art Therapists,29-1123.00,Physical Therapists,Supplemental,17
7978,29-1129.01,Art Therapists,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Supplemental,18
7979,29-1129.01,Art Therapists,19-3039.02,Neuropsychologists,Supplemental,19
7980,29-1129.01,Art Therapists,29-1214.00,Emergency Medicine Physicians,Supplemental,20
7981,29-1129.02,Music Therapists,29-1129.01,Art Therapists,Primary-Short,1
7982,29-1129.02,Music Therapists,29-1125.00,Recreational Therapists,Primary-Short,2
7983,29-1129.02,Music Therapists,29-1122.00,Occupational Therapists,Primary-Short,3
7984,29-1129.02,Music Therapists,29-1127.00,Speech-Language Pathologists,Primary-Short,4
7985,29-1129.02,Music Therapists,21-1013.00,Marriage and Family Therapists,Primary-Short,5
7986,29-1129.02,Music Therapists,19-3033.00,Clinical and Counseling Psychologists,Primary-Long,6
7987,29-1129.02,Music Therapists,29-1223.00,Psychiatrists,Primary-Long,7
7988,29-1129.02,Music Therapists,29-1123.00,Physical Therapists,Primary-Long,8
7989,29-1129.02,Music Therapists,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Long,9
7990,29-1129.02,Music Therapists,21-1014.00,Mental Health Counselors,Primary-Long,10
7991,29-1129.02,Music Therapists,31-2011.00,Occupational Therapy Assistants,Supplemental,11
7992,29-1129.02,Music Therapists,29-2053.00,Psychiatric Technicians,Supplemental,12
7993,29-1129.02,Music Therapists,31-9099.01,Speech-Language Pathology Assistants,Supplemental,13
7994,29-1129.02,Music Therapists,31-2012.00,Occupational Therapy Aides,Supplemental,14
7995,29-1129.02,Music Therapists,31-2021.00,Physical Therapist Assistants,Supplemental,15
7996,29-1129.02,Music Therapists,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Supplemental,16
7997,29-1129.02,Music Therapists,29-1291.00,Acupuncturists,Supplemental,17
7998,29-1129.02,Music Therapists,19-3039.03,Clinical Neuropsychologists,Supplemental,18
7999,29-1129.02,Music Therapists,29-1214.00,Emergency Medicine Physicians,Supplemental,19
8000,29-1129.02,Music Therapists,21-1023.00,Mental Health and Substance Abuse Social Workers,Supplemental,20
8001,29-1131.00,Veterinarians,29-1214.00,Emergency Medicine Physicians,Primary-Short,1
8002,29-1131.00,Veterinarians,29-1229.01,Allergists and Immunologists,Primary-Short,2
8003,29-1131.00,Veterinarians,29-1222.00,"Physicians, Pathologists",Primary-Short,3
8004,29-1131.00,Veterinarians,29-1213.00,Dermatologists,Primary-Short,4
8005,29-1131.00,Veterinarians,29-1216.00,General Internal Medicine Physicians,Primary-Short,5
8006,29-1131.00,Veterinarians,29-1229.05,Preventive Medicine Physicians,Primary-Long,6
8007,29-1131.00,Veterinarians,29-1229.03,Urologists,Primary-Long,7
8008,29-1131.00,Veterinarians,29-1221.00,"Pediatricians, General",Primary-Long,8
8009,29-1131.00,Veterinarians,29-1141.04,Clinical Nurse Specialists,Primary-Long,9
8010,29-1131.00,Veterinarians,29-1218.00,Obstetricians and Gynecologists,Primary-Long,10
8011,29-1131.00,Veterinarians,29-2056.00,Veterinary Technologists and Technicians,Supplemental,11
8012,29-1131.00,Veterinarians,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Supplemental,12
8013,29-1131.00,Veterinarians,29-1241.00,"Ophthalmologists, Except Pediatric",Supplemental,13
8014,29-1131.00,Veterinarians,29-1171.00,Nurse Practitioners,Supplemental,14
8015,29-1131.00,Veterinarians,31-9092.00,Medical Assistants,Supplemental,15
8016,29-1131.00,Veterinarians,29-1243.00,Pediatric Surgeons,Supplemental,16
8017,29-1131.00,Veterinarians,29-1211.00,Anesthesiologists,Supplemental,17
8018,29-1131.00,Veterinarians,29-1217.00,Neurologists,Supplemental,18
8019,29-1131.00,Veterinarians,29-1299.01,Naturopathic Physicians,Supplemental,19
8020,29-1131.00,Veterinarians,29-1224.00,Radiologists,Supplemental,20
8021,29-1141.00,Registered Nurses,29-1141.04,Clinical Nurse Specialists,Primary-Short,1
8022,29-1141.00,Registered Nurses,29-1171.00,Nurse Practitioners,Primary-Short,2
8023,29-1141.00,Registered Nurses,29-1141.01,Acute Care Nurses,Primary-Short,3
8024,29-1141.00,Registered Nurses,29-1141.03,Critical Care Nurses,Primary-Short,4
8025,29-1141.00,Registered Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Primary-Short,5
8026,29-1141.00,Registered Nurses,29-1161.00,Nurse Midwives,Primary-Long,6
8027,29-1141.00,Registered Nurses,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Long,7
8028,29-1141.00,Registered Nurses,31-1131.00,Nursing Assistants,Primary-Long,8
8029,29-1141.00,Registered Nurses,29-1071.00,Physician Assistants,Primary-Long,9
8030,29-1141.00,Registered Nurses,29-1151.00,Nurse Anesthetists,Primary-Long,10
8031,29-1141.00,Registered Nurses,29-1214.00,Emergency Medicine Physicians,Supplemental,11
8032,29-1141.00,Registered Nurses,29-2043.00,Paramedics,Supplemental,12
8033,29-1141.00,Registered Nurses,29-1215.00,Family Medicine Physicians,Supplemental,13
8034,29-1141.00,Registered Nurses,29-1211.00,Anesthesiologists,Supplemental,14
8035,29-1141.00,Registered Nurses,29-1218.00,Obstetricians and Gynecologists,Supplemental,15
8036,29-1141.00,Registered Nurses,29-1243.00,Pediatric Surgeons,Supplemental,16
8037,29-1141.00,Registered Nurses,29-2042.00,Emergency Medical Technicians,Supplemental,17
8038,29-1141.00,Registered Nurses,29-1216.00,General Internal Medicine Physicians,Supplemental,18
8039,29-1141.00,Registered Nurses,29-1212.00,Cardiologists,Supplemental,19
8040,29-1141.00,Registered Nurses,29-1229.02,Hospitalists,Supplemental,20
8041,29-1141.01,Acute Care Nurses,29-1141.04,Clinical Nurse Specialists,Primary-Short,1
8042,29-1141.01,Acute Care Nurses,29-1141.03,Critical Care Nurses,Primary-Short,2
8043,29-1141.01,Acute Care Nurses,29-1141.00,Registered Nurses,Primary-Short,3
8044,29-1141.01,Acute Care Nurses,29-2043.00,Paramedics,Primary-Short,4
8045,29-1141.01,Acute Care Nurses,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Short,5
8046,29-1141.01,Acute Care Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Primary-Long,6
8047,29-1141.01,Acute Care Nurses,29-1161.00,Nurse Midwives,Primary-Long,7
8048,29-1141.01,Acute Care Nurses,29-1126.00,Respiratory Therapists,Primary-Long,8
8049,29-1141.01,Acute Care Nurses,31-1131.00,Nursing Assistants,Primary-Long,9
8050,29-1141.01,Acute Care Nurses,29-2042.00,Emergency Medical Technicians,Primary-Long,10
8051,29-1141.01,Acute Care Nurses,29-1214.00,Emergency Medicine Physicians,Supplemental,11
8052,29-1141.01,Acute Care Nurses,29-1171.00,Nurse Practitioners,Supplemental,12
8053,29-1141.01,Acute Care Nurses,29-1212.00,Cardiologists,Supplemental,13
8054,29-1141.01,Acute Care Nurses,29-1243.00,Pediatric Surgeons,Supplemental,14
8055,29-1141.01,Acute Care Nurses,29-1215.00,Family Medicine Physicians,Supplemental,15
8056,29-1141.01,Acute Care Nurses,29-1211.00,Anesthesiologists,Supplemental,16
8057,29-1141.01,Acute Care Nurses,29-1216.00,General Internal Medicine Physicians,Supplemental,17
8058,29-1141.01,Acute Care Nurses,29-1071.00,Physician Assistants,Supplemental,18
8059,29-1141.01,Acute Care Nurses,29-1229.04,Physical Medicine and Rehabilitation Physicians,Supplemental,19
8060,29-1141.01,Acute Care Nurses,29-1123.00,Physical Therapists,Supplemental,20
8061,29-1141.02,Advanced Practice Psychiatric Nurses,29-1171.00,Nurse Practitioners,Primary-Short,1
8062,29-1141.02,Advanced Practice Psychiatric Nurses,29-1141.04,Clinical Nurse Specialists,Primary-Short,2
8063,29-1141.02,Advanced Practice Psychiatric Nurses,29-1223.00,Psychiatrists,Primary-Short,3
8064,29-1141.02,Advanced Practice Psychiatric Nurses,29-2053.00,Psychiatric Technicians,Primary-Short,4
8065,29-1141.02,Advanced Practice Psychiatric Nurses,29-1215.00,Family Medicine Physicians,Primary-Short,5
8066,29-1141.02,Advanced Practice Psychiatric Nurses,29-1141.01,Acute Care Nurses,Primary-Long,6
8067,29-1141.02,Advanced Practice Psychiatric Nurses,29-1141.00,Registered Nurses,Primary-Long,7
8068,29-1141.02,Advanced Practice Psychiatric Nurses,19-3039.03,Clinical Neuropsychologists,Primary-Long,8
8069,29-1141.02,Advanced Practice Psychiatric Nurses,29-1141.03,Critical Care Nurses,Primary-Long,9
8070,29-1141.02,Advanced Practice Psychiatric Nurses,21-1014.00,Mental Health Counselors,Primary-Long,10
8071,29-1141.02,Advanced Practice Psychiatric Nurses,29-1214.00,Emergency Medicine Physicians,Supplemental,11
8072,29-1141.02,Advanced Practice Psychiatric Nurses,29-1221.00,"Pediatricians, General",Supplemental,12
8073,29-1141.02,Advanced Practice Psychiatric Nurses,31-1133.00,Psychiatric Aides,Supplemental,13
8074,29-1141.02,Advanced Practice Psychiatric Nurses,29-1229.04,Physical Medicine and Rehabilitation Physicians,Supplemental,14
8075,29-1141.02,Advanced Practice Psychiatric Nurses,29-1217.00,Neurologists,Supplemental,15
8076,29-1141.02,Advanced Practice Psychiatric Nurses,29-1071.00,Physician Assistants,Supplemental,16
8077,29-1141.02,Advanced Practice Psychiatric Nurses,19-3039.02,Neuropsychologists,Supplemental,17
8078,29-1141.02,Advanced Practice Psychiatric Nurses,29-1161.00,Nurse Midwives,Supplemental,18
8079,29-1141.02,Advanced Practice Psychiatric Nurses,29-1123.00,Physical Therapists,Supplemental,19
8080,29-1141.02,Advanced Practice Psychiatric Nurses,29-1122.00,Occupational Therapists,Supplemental,20
8081,29-1141.03,Critical Care Nurses,29-1141.01,Acute Care Nurses,Primary-Short,1
8082,29-1141.03,Critical Care Nurses,29-1141.04,Clinical Nurse Specialists,Primary-Short,2
8083,29-1141.03,Critical Care Nurses,29-1141.00,Registered Nurses,Primary-Short,3
8084,29-1141.03,Critical Care Nurses,29-1171.00,Nurse Practitioners,Primary-Short,4
8085,29-1141.03,Critical Care Nurses,29-2043.00,Paramedics,Primary-Short,5
8086,29-1141.03,Critical Care Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Primary-Long,6
8087,29-1141.03,Critical Care Nurses,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Long,7
8088,29-1141.03,Critical Care Nurses,29-1126.00,Respiratory Therapists,Primary-Long,8
8089,29-1141.03,Critical Care Nurses,29-1161.00,Nurse Midwives,Primary-Long,9
8090,29-1141.03,Critical Care Nurses,31-1131.00,Nursing Assistants,Primary-Long,10
8091,29-1141.03,Critical Care Nurses,29-1214.00,Emergency Medicine Physicians,Supplemental,11
8092,29-1141.03,Critical Care Nurses,29-1211.00,Anesthesiologists,Supplemental,12
8093,29-1141.03,Critical Care Nurses,29-1151.00,Nurse Anesthetists,Supplemental,13
8094,29-1141.03,Critical Care Nurses,29-1071.00,Physician Assistants,Supplemental,14
8095,29-1141.03,Critical Care Nurses,29-1215.00,Family Medicine Physicians,Supplemental,15
8096,29-1141.03,Critical Care Nurses,29-1212.00,Cardiologists,Supplemental,16
8097,29-1141.03,Critical Care Nurses,29-1071.01,Anesthesiologist Assistants,Supplemental,17
8098,29-1141.03,Critical Care Nurses,29-2042.00,Emergency Medical Technicians,Supplemental,18
8099,29-1141.03,Critical Care Nurses,29-1243.00,Pediatric Surgeons,Supplemental,19
8100,29-1141.03,Critical Care Nurses,29-1221.00,"Pediatricians, General",Supplemental,20
8101,29-1141.04,Clinical Nurse Specialists,29-1171.00,Nurse Practitioners,Primary-Short,1
8102,29-1141.04,Clinical Nurse Specialists,29-1141.00,Registered Nurses,Primary-Short,2
8103,29-1141.04,Clinical Nurse Specialists,29-1141.01,Acute Care Nurses,Primary-Short,3
8104,29-1141.04,Clinical Nurse Specialists,29-1141.03,Critical Care Nurses,Primary-Short,4
8105,29-1141.04,Clinical Nurse Specialists,29-1141.02,Advanced Practice Psychiatric Nurses,Primary-Short,5
